TEAMS,APP
Alabama,1
Arizona,10
Arkansas,4
Auburn,1
Baylor,2
Boston College,1
Butler,2
Cincinnati,3
Connecticut,10
Davidson,1
Dayton,1
Duke,14
Florida,9
Florida State,1
George Mason,1
Georgetown,5
Georgia Tech,3
Gonzaga,3
Illinois,3
Indiana,4
Iowa,1
Iowa State,1
Kansas,14
Kansas State,2
Kent State,1
Kentucky,16
Louisville,8
Loyola Marymount,1
LSU,3
Marquette,2
Maryland,2
Massachusetts,2
Memphis,5
Michigan,6
Michigan State,9
Minnesota,2
Mississippi State,1
Missouri,3
Navy,1
North Carolina,17
North Carolina State,2
Notre Dame,2
Ohio State,5
Oklahoma,6
Oklahoma State,3
Oregon,4
Pittsburgh,1
Providence,2
Purdue,2
Rhode Island,1
Seton Hall,2
South Carolina,1
Southern California,1
St. John's,3
St. Joseph's,1
Stanford,2
Syracuse,7
Temple,5
Tennessee,1
Texas,4
Tulsa,1
UCLA,10
Utah,2
Villanova,5
Virginia,3
Virginia,2
Virginia Commonwealth,1
Wake Forest,1
West Virginia,2
Wichita State,1
Wisconsin,4
Xavier,3
