TEAMS,APP
Arizona,4
Arkansas,3
Butler,2
Cincinnati,1
Connecticut,5
Duke,12
Florida,5
George Mason,1
Georgetown,2
Georgia Tech,2
Gonzaga,1
Illinois,2
Indiana,3
Kansas,8
Kentucky,8
Louisville,4
LSU,2
Marquette,1
Maryland,2
Massachusetts,1
Memphis,2
Michigan,3
Michigan State,7
Minnesota,1
Mississippi State,1
North Carolina,11
Ohio State,3
Oklahoma,3
Oklahoma State,2
Oregon,1
Providence,1
Seton Hall,1
South Carolina,1
St. John's,1
Stanford,1
Syracuse,5
Texas,1
UCLA,4
UNLV,3
Utah,1
Villanova,3
Virginia Commonwealth,1
West Virginia,1
Wichita State,1
Wisconsin,3
